Tanggal,Jumlah Orang di Test,Orang Positif Harian,Orang Negatif Harian,Positivity Rate Kasus Baru Harian,Total Spesimen di Test,Positif,Negatif,Positivity Rate Spesimen Harian,
23/03/2021 ,16096,890,15206,5.50%,20120,4133,15987,20.5%,
24/03/2021 ,12742,1726,11016,13.50%,15928,3326,12602,20.9%,
25/03/2021 ,13080,1381,11699,10.60%,16350,3064,13286,18.7%,
26/03/2021 ,13086,1354,11732,10.30%,16714,3259,13455,19.5%,
27/03/2021 ,12292,1470,10822,12.00%,15365,2520,12845,16.4%,
28/03/2021 ,7497,1014,6483,13.50%,9372,1373,7999,14.7%,
29/03/2021 ,11412,384,11028,3.40%,14632,2722,11910,18.6%,
30/03/2021 ,13420,965,12455,7.20%,16366,3120,13246,19.1%,
31/03/2021 ,12124,1337,10787,11.00%,15156,2822,12334,18.6%,
1/4/2021,11141,1240,9901,11.10%,13927,2485,11442,17.8%,
2/4/2021,7516,1098,6418,14.60%,9396,1478,7918,15.7%,
3/4/2021,7694,736,6958,9.60%,10124,1744,8380,17.2%,
4/4/2021,7333,523,6810,7.10%,9778,1785,7993,18.3%,
5/4/2021,12620,487,12133,3.90%,15776,2821,12955,17.9%,
6/4/2021,12096,862,11234,7.10%,15918,2688,13230,16.9%,
7/4/2021,9603,1239,8364,12.90%,13296,2307,10989,17.4%,
8/4/2021,10548,1013,9535,9.60%,16708,2363,14345,14.1%,
9/4/2021,10442,977,9465,9.40%,16208,2356,13852,14.5%,
10/4/2021,8868,1031,7837,11.60%,14245,1818,12427,12.8%,
11/4/2021,7265,692,6573,9.50%,9082,1213,7869,13.4%,
12/4/2021,7576,828,6748,10.90%,14487,2357,12130,16.3%,
13/04/2021 ,12934,661,12273,5.10%,20115,3460,16655,17.2%,
14/04/2021 ,10673,1330,9343,12.50%,16048,2723,13325,17.0%,
15/04/2021 ,11191,979,10212,8.70%,16409,2576,13833,15.7%,
16/04/2021 ,10823,1037,9786,9.60%,14451,2115,12336,14.6%,
17/04/2021 ,6749,950,5799,14.10%,11844,1964,9880,16.6%,
18/04/2021 ,8565,973,7592,11.40%,11099,1551,9548,14.0%,
19/04/2021 ,8601,460,8141,5.30%,13690,2083,11607,15.2%,
20/04/2021 ,11434,602,10832,5.30%,14525,2487,12038,17.1%,
21/04/2021 ,10519,1266,9253,12.00%,13051,1796,11255,13.8%,
22/04/2021 ,8671,884,7787,10.20%,13863,2054,11809,14.8%,
23/04/2021 ,9747,907,8840,9.30%,14348,2382,11966,16.6%,
24/04/2021 ,7851,896,6955,11.40%,13980,2245,11735,16.1%,
25/04/2021 ,6846,749,6097,10.90%,8558,1480,7078,17.3%,
26/04/2021 ,7856,393,7463,5.00%,14746,2253,12493,15.3%,
27/04/2021 ,10830,639,10191,5.90%,14992,2325,12667,15.5%,
28/04/2021 ,9559,987,8572,10.30%,12120,1863,10257,15.4%,
29/04/2021 ,9712,789,8923,8.10%,14576,2600,11976,17.8%,
30/04/2021 ,9962,926,9036,9.30%,17048,2163,14885,12.7%,
1/5/2021,6957,854,6103,12.30%,11590,2128,9462,18.4%,
2/5/2021,6765,757,6008,11.20%,9020,888,8132,9.8%,
3/5/2021,8154,416,7738,5.10%,17082,2275,14807,13.3%,
4/5/2021,10686,845,9841,7.90%,17285,2448,14837,14.2%,
5/5/2021,11480,905,10575,7.90%,16710,2208,14502,13.2%,
6/5/2021,10752,783,9969,7.30%,17747,2114,15633,11.9%,
7/5/2021,9612,732,8880,7.60%,15473,2196,13277,14.2%,
8/5/2021,8206,809,7397,9.90%,13267,1968,11299,14.8%,
9/5/2021,6910,694,6216,10.00%,9872,2004,7868,20.3%,
10/5/2021,6139,406,5733,6.60%,9997,1711,8286,17.1%,
11/5/2021,8182,656,7526,8.00%,11689,1640,10049,14.0%,
12/5/2021,8229,785,7444,9.50%,11757,1730,10027,14.7%,
13/05/2021 ,4590,632,3958,13.80%,6121,923,5198,15.1%,
14/05/2021 ,4032,227,3805,5.60%,6056,912,5144,15.1%,
15/05/2021 ,3580,161,3419,4.50%,6760,969,5791,14.3%,
16/05/2021 ,4361,421,3940,9.70%,6230,930,5300,14.9%,
17/05/2021 ,4131,291,3840,7.00%,11350,1400,9950,12.3%,
18/05/2021 ,4494,539,3955,12.00%,10705,941,9764,8.8%,
19/05/2021 ,8307,895,7412,10.80%,10651,1895,8756,17.8%,
20/05/2021 ,8168,856,7312,10.50%,10473,1646,8827,15.7%,
21/05/2021 ,14265,932,13333,6.50%,20379,2184,18195,10.7%,
22/05/2021 ,8669,867,7802,10.00%,16501,1834,14667,11.1%,
23/05/2021 ,8361,819,7542,9.80%,10895,974,9921,8.9%,
24/05/2021 ,9341,384,8957,4.10%,13737,1893,11844,13.8%,
25/05/2021 ,13768,617,13151,4.50%,19669,2215,17454,11.3%,
26/05/2021 ,8524,940,7584,11.00%,11620,1189,10431,10.2%,
27/05/2021 ,9599,693,8906,7.20%,13241,1595,11646,12.0%,
28/05/2021 ,13247,807,12440,6.10%,18817,2425,16392,12.9%,
29/05/2021 ,10573,1064,9509,10.10%,15193,1890,13303,12.4%,
30/05/2021 ,7322,726,6596,9.90%,11265,1157,10108,10.3%,
31/05/2021 ,6847,519,6328,7.60%,15974,2207,13767,13.8%,
1/6/2021,6917,601,6316,8.70%,10325,1303,9022,12.6%,
2/6/2021,9849,714,9135,7.20%,14377,2204,12173,15.3%,
3/6/2021,14450,906,13544,6.30%,20055,2966,17089,14.8%,
4/6/2021,10605,1317,9288,12.40%,14603,2062,12541,14.1%,
5/6/2021,7625,1019,6606,13.40%,13465,2651,10814,19.7%,
6/6/2021,6698,1197,5501,17.90%,8921,1340,7581,15.0%,
7/6/2021,7237,755,6482,10.40%,12963,2629,10334,20.3%,
8/6/2021,11167,1376,9791,12.30%,15900,3553,12347,22.3%,
9/6/2021,12304,2096,10208,17.00%,17241,3852,13389,22.3%,
10/6/2021,13142,2293,10849,17.40%,17606,4176,13430,23.7%,
11/6/2021,13443,2455,10988,18.30%,17340,4560,12780,26.3%,
12/6/2021,11800,2769,9031,23.50%,16218,4455,11763,27.5%,
13/06/2021 ,11671,2722,8949,23.30%,10133,2384,7749,23.5%,
14/06/2021 ,8970,1502,7468,16.70%,14135,4417,9718,31.2%,
15/06/2021 ,15269,2376,12893,15.60%,21531,7283,14248,33.8%,
16/06/2021 ,16499,4144,12355,25.10%,24032,7730,16302,32.2%,
17/06/2021 ,17368,4737,12631,27.30%,24183,8222,15961,34.0%,
18/06/2021 ,16797,4895,11902,29.10%,24029,8346,15683,34.7%,
19/06/2021 ,16636,5582,11054,33.60%,18093,7381,10712,40.8%,
20/06/2021 ,15424,5014,10410,32.50%,15343,5018,10325,32.7%,
21/06/2021 ,14462,3221,11241,22.30%,21086,8291,12795,39.3%,
22/06/2021 ,19485,4693,14792,24.10%,28071,11787,16284,42.0%,
23/06/2021 ,20460,7505,12955,36.70%,26497,10898,15599,41.1%,
24/06/2021 ,20155,6934,13221,34.40%,29196,12364,16832,42.3%,
25/06/2021 ,22911,9271,13640,40.50%,31858,14904,16954,46.8%,
26/06/2021 ,24704,9394,15310,38.00%,28287,12832,15455,45.4%,
27/06/2021 ,24295,8348,15947,34.40%,25003,11005,13998,44.0%,
28/06/2021 ,22046,7379,14667,33.50%,26888,12387,14501,46.1%,
29/06/2021 ,22432,7680,14752,34.20%,28413,13307,15106,46.8%,
30/06/2021 ,21394,7541,13853,35.20%,30353,14747,15606,48.6%,
1/7/2021,25285,9399,15886,37.20%,32813,15502,17311,47.2%,
2/7/2021,24478,9702,14776,39.60%,34657,17056,17601,49.2%,
3/7/2021,24616,10485,14131,42.60%,33897,17509,16388,51.7%,
4/7/2021,27356,10903,16453,39.90%,25548,12378,13170,48.4%,
5/7/2021,25309,9439,15870,37.30%,35796,16617,19179,46.4%,
6/7/2021,25453,9366,16087,36.80%,42256,21821,20435,51.6%,
7/7/2021,28003,12974,15029,46.30%,43425,21270,22155,49.0%,
8/7/2021,31847,13112,18735,41.20%,44550,21969,22581,49.3%,
9/7/2021,30950,12920,18030,41.70%,44914,21149,23765,47.1%,
10/7/2021,35642,13133,22509,36.80%,39928,18848,21080,47.2%,
11/7/2021,35376,14619,20757,41.30%,30950,13518,17432,43.7%,
12/7/2021,31632,12182,19450,38.50%,40088,17049,23039,42.5%,
13/07/2021 ,43067,12667,30400,29.40%,57428,25021,32407,43.6%,
14/07/2021 ,41734,12691,29043,30.40%,53012,23205,29807,43.8%,
15/07/2021 ,41580,12415,29165,29.90%,52529,22927,29602,43.6%,
